Number,Variable name,unit/value,Difficulty level,domain,Variable description
20,Concentration of DDT at a site,ng/g,advanced,toxicity,Concentration of DDT in a given year at a site impacted by industry.
21,Blood pressure,mmHg,simple,health,Resting blood pressure systolic/diastolic in millimeters of mercury (mmHg)
22,Current smoking status,controlled list,simple,health,Smoking status current of a patient
23,dose of applied nanomaterial internalised by a specific cell population (or per single cell) -mass per cell area,mass/area,advanced,health,"Correlation of dose and response for nanomaterials toxicity assessment requires information on the amount of the applied dose of nanomaterial that has been internalised by a cell population (or per specific cell) and is dependent on a number of factors including the exposure time, the particle density (i.e., whether settling occurs and thus the distribution of particles in the medium is non-homogeneous affecting the local concentration at the cell surface) etc. "
24,dose of applied nanomaterial internalised by a specific cell population (or per single cell) -  particle number / cell area,number/area,advanced,health,"Correlation of dose and response for nanomaterials toxicity assessment requires information on the amount of the applied dose of nanomaterial that has been internalised by a cell population (or per specific cell) and is dependent on a number of factors including the exposure time, the particle density (i.e., whether settling occurs and thus the distribution of particles in the medium is non-homogeneous affecting the local concentration at the cell surface) etc. "
25,Dynamic shear viscosity of polystyrene PS042,pascal seconds,advanced,material science,Dynamic shear viscosity   of polystyrene PS042 under the testing conditions of DIN 51810-1.
26,Sheet resistence of layer of gold,Ohms per square,advanced,material science,The sheet resistance of a 5-nanometer-thick layer of gold.
27,Concentration of isobuylene,grams per liter,simple,chemistry,Mass concentration of isobutylene in chloroform.
28,Overnight stays in hotel,number,advanced,social science,Number of nights in a 3-star hotel near the sea shore
29,Nervousity feelings I,number,simple,social science,"In the past 30 days, how often did you feel nervous?"
30,Date of last PCR-test,date,advanced,social science,date of last COVID-19 PCR test performed by a certified laboratory
